smmp_id,depthpos,node_id,x_smmp,y_smmp,z_surface,install_year,next_tree_id,next_tree_dist,tree_pos,smmp_type,profiledepth_cm,sampling_date_core,fc_vol_perc,ks_m_s,bulkdens_kg_m3,porosity_sat_vol_perc,porosity_calc_vol_perc,gravel_grav_perc,sand_grav_perc,silt_grav_perc,clay_grav_perc,textureclass,textureclass_ger
208,b,36,598814.73,5662756.24,368.56,2014,213,2.92,far,kt,42,14.10.14,40.58,0.000036,1.36,46.9,48.7,,,,,,
208,t,36,598814.73,5662756.24,368.56,2014,213,2.92,far,kt,42,14.10.14,40.12,0.0000106,1.23,51.1,53.6,,,,,,
209,b,72,598812.52,5662763.79,368.1,2014,214,1.51,far,kt,43,09.10.14,36.26,0.000159,1.28,49.6,52.1,,,,,,
209,t,72,598812.52,5662763.79,368.1,2014,214,1.51,far,kt,43,09.10.14,46.44,0.0000191,1.17,55.4,56.1,,,,,,
210,b,66,598815.38,5662788.98,366.22,2014,130,0.47,close,kt,15,,,,,,,0.03,2.37,81.9,15.7,SiL,Ut3
210,t,66,598815.38,5662788.98,366.22,2014,130,0.47,close,kt,15,16.10.14,,0.000053,,,,,,,,,
211,b,62,598811.31,5662790.02,366.1,2014,130,3.18,far,kt,44,17.10.14,52.36,0.0000169,1.39,56.3,47.6,,,,,,
211,t,62,598811.31,5662790.02,366.1,2014,130,3.18,far,kt,44,17.10.14,41.71,0.00000696,1.28,49,52,,,,,,
212,b,64,598826.17,5662775.17,367.14,2014,189,2.29,far,kt,63,15.10.14,36.66,0.0000181,1.45,42.6,45.3,,,,,,
212,t,64,598826.17,5662775.17,367.14,2014,189,2.29,far,kt,63,15.10.14,40.22,0.0000539,1.03,55,61.3,,,,,,
213,b,37,598849.68,5662759.35,367.85,2014,636,0.63,close,kt,,,38.6,0.000136,1.45,53,45.5,0.04,2.07,65.46,32.42,SiCL,Tu4
213,t,37,598849.68,5662759.35,367.85,2014,636,0.63,close,kt,,,42.54,0.0000553,1.14,64.4,57.1,,,,,,
214,b,54,598843.15,5662798.21,365.21,2014,806,0.49,close,kt,34,22.10.14,46.23,0.0000283,1.37,47.3,48.7,,,,,,
214,t,54,598843.15,5662798.21,365.21,2014,806,0.49,close,kt,34,22.10.14,47.35,0.0000544,1.18,,55.6,,,,,,
215,b,51,598844.2,5662827.7,362.86,2014,1016,0.91,close,kt,40,,,0.00000405,,56.5,,,,,,,
215,t,51,598844.2,5662827.7,362.86,2014,1016,0.91,close,kt,40,27.10.14,44.75,0.000156,1.08,56.5,59.3,,,,,,
216,b,40,598854.49,5662755.7,368.01,2014,596,1.2,far,kt,,,34.39,,1.53,44.5,42.5,,,,,,
216,t,40,598854.49,5662755.7,368.01,2015,596,1.2,far,kt,,30.03.15,46.91,0.00000113,1.27,56.3,52.1,,,,,,
217,b,27,598855.29,5662783.6,366.12,2014,746,0.77,close,kt,37,23.10.14,39.83,0.0000272,1.44,42.9,45.7,,,,,,
217,t,27,598855.29,5662783.6,366.12,2014,746,0.77,close,kt,37,23.10.14,45.68,,1.09,52.5,59.1,,,,,,
